UniteDescriptor;ClassNameForDebug;Nationalite;MotherCountry;UnitConcealmentBonus;ArmorDescriptorFront;ArmorDescriptorSides;ArmorDescriptorRear;ArmorDescriptorTop;MaxDamages;HitRollECM;NbSoldatInGroupeCombat;MaxSpeed;RoadSpeed;SpeedBonusOnRoad;MaxAcceleration;MaxDeceleration;TempsDemiTour;FuelCapacity;FuelMoveDuration;Autonomy;OpticalStrength;OpticalStrengthAltitude;IdentifyBaseProbability;TimeBetweenEachIdentifyRoll;TransportedSoldier;IsTowable;ProductionYear;UnitAttackValue;UnitDefenseValue;EvacuationTime;TravelDuration;RoleList;SpecialtiesList;Factory;Resource_CommandPoints;Resource_Tickets;RevealInfluence;UpgradeFromUnit;SupplyCapacity;UnlockableOrders;WeaponDescriptor;DeploymentShift;Altitude;AltitudeMax;AltitudeMin;AltitudeMinForRoll;MinRollSpeedForRoll;Speed;AgilityRadius;PitchAngle;RollAngle;PitchSpeed;RollSpeed;UpwardSpeed;TorqueManoeuvrability;CyclicManoeuvrability;MaxInclination;GFactorLimit;RotorArea
"Descriptor_Unit_AMX_10_HOT_FR";"Unit_AMX_10_HOT_FR";"ENationaliteAllied";"FR";1.5;"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Vehicule_2";10.0;0.0;;63.0;;0.5714285714285714;22.5;69.75;5.0;500;600.0;;84.9;40;0.26;8.0;"AMX_10_HOT_FR";0;1987;1;1;;;"tank_D";"['AT']";"EDefaultFactoriesTanks";115;2;0;"Descriptor_Unit_VAB_HOT_FR";;"Descriptor_OrderAvailability_AMX_10_HOT_FR";"WeaponDescriptor_AMX_10_HOT_FR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AMX_10_PC_CMD_FR";"Unit_AMX_10_PC_CMD_FR";"ENationaliteAllied";"FR";1.0;"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Vehicule_2";10.0;0.0;;63.0;;0.5714285714285714;22.5;69.75;5.0;300;800.0;;84.9;20;0.26;8.0;"AMX_10_PC_CMD_FR";0;0;1;1;;;"tank_D";"['hq']";"EDefaultFactoriesLogistic";125;4;0;;;"Descriptor_OrderAvailability_AMX_10_PC_CMD_FR";"WeaponDescriptor_AMX_10_PC_CMD_FR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AMX_10_P_FR";"Unit_AMX_10_P_FR";"ENationaliteAllied";"FR";1.0;"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Vehicule_2";10.0;0.0;;63.0;;0.5714285714285714;22.5;69.75;5.0;500;600.0;;63.675;20;0.2;10.0;"AMX_10_P_FR";0;1964;15;15;;;"tank_B";"['ifv']";"EDefaultFactoriesTanks";35;1;0;"Descriptor_Unit_AMX_13_VCI_20mm_FR";;"Descriptor_OrderAvailability_AMX_10_P_FR";"WeaponDescriptor_AMX_10_P_FR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AMX_10_P_MILAN_FR";"Unit_AMX_10_P_MILAN_FR";"ENationaliteAllied";"FR";1.0;"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Vehicule_2";10.0;0.0;;63.0;;0.5714285714285714;22.5;69.75;5.0;500;600.0;;63.675;20;0.2;10.0;"AMX_10_P_MILAN_FR";0;1987;15;15;;;"tank_D";"['ifv']";"EDefaultFactoriesTanks";40;1;0;"Descriptor_Unit_AMX_10_P_FR";;"Descriptor_OrderAvailability_AMX_10_P_MILAN_FR";"WeaponDescriptor_AMX_10_P_MILAN_FR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AMX_10_P_VOA_FR";"Unit_AMX_10_P_VOA_FR";"ENationaliteAllied";"FR";1.5;"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Vehicule_2";10.0;0.0;;63.0;;0.5714285714285714;22.5;69.75;5.0;500;600.0;;191.025;40;0.56;4.0;"AMX_10_P_VOA_FR";0;1964;1;1;;;"tank_B";"['reco']";"EDefaultFactoriesRecons";55;2;0;;;"Descriptor_OrderAvailability_AMX_10_P_VOA_FR";"WeaponDescriptor_AMX_10_P_VOA_FR";2473.4982332155478;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AMX_10_RCR_FR";"Unit_AMX_10_RCR_FR";"ENationaliteAllied";"FR";1.5;"ArmorDescriptor_Blindage_4";"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Blindage_1";10.0;0.0;;72.0;;0.875;33.75;69.75;4.0;520;1000.0;;191.025;40;0.56;4.0;"AMX_10_RCR_FR";0;1964;1;1;;;"tank_B";"['reco']";"EDefaultFactoriesRecons";90;2;0;"Descriptor_Unit_AMX_10_RC_FR";;"Descriptor_OrderAvailability_AMX_10_RCR_FR";"WeaponDescriptor_AMX_10_RCR_FR";2473.4982332155478;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AMX_10_RC_FR";"Unit_AMX_10_RC_FR";"ENationaliteAllied";"FR";1.5;"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Blindage_1";10.0;0.0;;72.0;;0.875;33.75;69.75;4.0;520;1000.0;;191.025;40;0.56;4.0;"AMX_10_RC_FR";0;1964;1;1;;;"tank_B";"['reco']";"EDefaultFactoriesRecons";85;2;0;;;"Descriptor_OrderAvailability_AMX_10_RC_FR";"WeaponDescriptor_AMX_10_RC_FR";2473.4982332155478;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AMX_13_DCA_FR";"Unit_AMX_13_DCA_FR";"ENationaliteAllied";"FR";1.0;"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";10.0;0.0;;58.5;;0.6923076923076923;22.5;45.0;7.0;450;300.0;;63.675;250;0.2;10.0;"AMX_13_DCA_FR";0;1989;1;1;;;"tank_D";"['AA']";"EDefaultFactoriesAT";95;2;0;;;"Descriptor_OrderAvailability_AMX_13_DCA_FR";"WeaponDescriptor_AMX_13_DCA_FR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AMX_13_VCI_12_7mm_FR";"Unit_AMX_13_VCI_12_7mm_FR";"ENationaliteAllied";"FR";1.0;"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";10.0;0.0;;58.5;;0.6923076923076923;22.5;45.0;7.0;480;400.0;;42.45;10;0.13;15.0;"AMX_13_VCI_12_7mm_FR";0;1964;1;1;;;"tank_B";"['transport']";"EDefaultFactoriesTanks";20;1;0;;;"Descriptor_OrderAvailability_AMX_13_VCI_12_7mm_FR";"WeaponDescriptor_AMX_13_VCI_12_7mm_FR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AMX_13_VCI_20mm_FR";"Unit_AMX_13_VCI_20mm_FR";"ENationaliteAllied";"FR";1.0;"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Blindage_1";10.0;0.0;;58.5;;0.6923076923076923;22.5;45.0;7.0;480;400.0;;63.675;20;0.2;10.0;"AMX_13_VCI_20mm_FR";0;1964;15;15;;;"tank_C";"['ifv']";"EDefaultFactoriesTanks";35;1;0;"Descriptor_Unit_AMX_13_VCI_12_7mm_FR";;"Descriptor_OrderAvailability_AMX_13_VCI_20mm_FR";"WeaponDescriptor_AMX_13_VCI_20mm_FR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AMX_30_AuF1_FR";"Unit_AMX_30_AuF1_FR";"ENationaliteAllied";"FR";1.0;"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";"ArmorDescriptor_Blindage_1";"ArmorDescriptor_Vehicule_2";10.0;0.0;;58.5;;0.6923076923076923;22.5;45.0;7.0;1000;500.0;;42.45;10;0.13;15.0;"AMX_30_AuF1_FR";0;1981;60;60;;;"tank_B";"['howitzer']";"EDefaultFactoriesSupport";220;4;0;;;"Descriptor_OrderAvailability_AMX_30_AuF1_FR";"WeaponDescriptor_AMX_30_AuF1_FR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AMX_30_B2_Brennus_FR";"Unit_AMX_30_B2_Brennus_FR";"ENationaliteAllied";"FR";1.0;"ArmorDescriptor_Blindage_13";"ArmorDescriptor_Blindage_5";"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";10.0;0.0;;72.0;;0.375;22.5;69.75;5.0;1500;500.0;;63.675;20;0.2;10.0;"AMX_30_B2_Brennus_FR";0;0;60;60;;;"tank_D";"['armor']";"EDefaultFactoriesTanks";160;5;0;"Descriptor_Unit_AMX_30_B2_FR";;"Descriptor_OrderAvailability_AMX_30_B2_Brennus_FR";"WeaponDescriptor_AMX_30_B2_Brennus_FR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AMX_30_B2_CMD_FR";"Unit_AMX_30_B2_CMD_FR";"ENationaliteAllied";"FR";1.0;"ArmorDescriptor_Blindage_11";"ArmorDescriptor_Blindage_4";"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";10.0;0.0;;72.0;;0.375;22.5;69.75;5.0;1500;500.0;;84.9;20;0.26;8.0;"AMX_30_B2_CMD_FR";0;0;60;60;;;"tank_D";"['hq']";"EDefaultFactoriesTanks";235;9;0;;;"Descriptor_OrderAvailability_AMX_30_B2_CMD_FR";"WeaponDescriptor_AMX_30_B2_CMD_FR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AMX_30_B2_FR";"Unit_AMX_30_B2_FR";"ENationaliteAllied";"FR";1.0;"ArmorDescriptor_Blindage_11";"ArmorDescriptor_Blindage_4";"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";10.0;0.0;;72.0;;0.375;22.5;69.75;5.0;1000;600.0;;63.675;20;0.2;10.0;"AMX_30_B2_FR";0;1985;60;60;;;"tank_D";"['armor']";"EDefaultFactoriesTanks";135;5;0;"Descriptor_Unit_AMX_30_B2_CMD_FR";;"Descriptor_OrderAvailability_AMX_30_B2_FR";"WeaponDescriptor_AMX_30_B2_FR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AMX_30_B_FR";"Unit_AMX_30_B_FR";"ENationaliteAllied";"FR";1.0;"ArmorDescriptor_Blindage_10";"ArmorDescriptor_Blindage_4";"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";10.0;0.0;;58.5;;0.6923076923076923;22.5;45.0;7.0;1000;600.0;;63.675;20;0.2;10.0;"AMX_30_B_FR";0;1985;60;60;;;"tank_D";"['armor']";"EDefaultFactoriesTanks";95;5;0;;;"Descriptor_OrderAvailability_AMX_30_B_FR";"WeaponDescriptor_AMX_30_B_FR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AMX_30_EBG_FR";"Unit_AMX_30_EBG_FR";"ENationaliteAllied";"FR";1.0;"ArmorDescriptor_Blindage_12";"ArmorDescriptor_Blindage_4";"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Blindage_2";10.0;0.0;;63.0;;0.5714285714285714;22.5;69.75;5.0;1500;500.0;;63.675;20;0.2;10.0;"AMX_30_EBG_FR";0;0;60;60;;;"tank_D";"['armor']";"EDefaultFactoriesTanks";65;5;0;;;"Descriptor_OrderAvailability_AMX_30_EBG_FR";"WeaponDescriptor_AMX_30_EBG_FR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AT_D44_85mm_DDR";"Unit_AT_D44_85mm_DDR";"ENationaliteAxis";"DDR";2.0;"ArmorDescriptor_Vehicule_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";5.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"AT_D44_85mm_DDR";1;0;1;1;;;"tank_D";"['AT']";"EDefaultFactoriesTanks";40;2;0;;;"Descriptor_OrderAvailability_AT_D44_85mm_DDR";"WeaponDescriptor_AT_D44_85mm_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AT_D44_85mm_SOV";"Unit_AT_D44_85mm_SOV";"ENationaliteAxis";"SOV";2.0;"ArmorDescriptor_Vehicule_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";5.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"AT_D44_85mm_SOV";1;0;1;1;;;"tank_D";"['AT']";"EDefaultFactoriesTanks";40;2;0;;;"Descriptor_OrderAvailability_AT_D44_85mm_SOV";"WeaponDescriptor_AT_D44_85mm_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AT_D44_85mm_VDV_SOV";"Unit_AT_D44_85mm_VDV_SOV";"ENationaliteAxis";"SOV";2.0;"ArmorDescriptor_Vehicule_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";5.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"AT_D44_85mm_VDV_SOV";1;0;1;1;;;"tank_D";"['AT']";"EDefaultFactoriesTanks";40;2;0;"Descriptor_Unit_AT_D44_85mm_SOV";;"Descriptor_OrderAvailability_AT_D44_85mm_VDV_SOV";"WeaponDescriptor_AT_D44_85mm_VDV_SOV";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AT_T12_Rapira_DDR";"Unit_AT_T12_Rapira_DDR";"ENationaliteAxis";"DDR";2.0;"ArmorDescriptor_Vehicule_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";5.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"AT_T12_Rapira_DDR";1;0;1;1;;;"tank_C";"['AT']";"EDefaultFactoriesTanks";65;2;0;"Descriptor_Unit_AT_D44_85mm_DDR";;"Descriptor_OrderAvailability_AT_T12_Rapira_DDR";"WeaponDescriptor_AT_T12_Rapira_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AT_T12_Rapira_SOV";"Unit_AT_T12_Rapira_SOV";"ENationaliteAxis";"SOV";2.0;"ArmorDescriptor_Vehicule_2";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";5.0;0.0;;9.0;;1.25;13.5;4.5;5.0;;;;84.9;40;0.26;8.0;"AT_T12_Rapira_SOV";1;0;1;1;;;"tank_C";"['AT']";"EDefaultFactoriesTanks";65;2;0;"Descriptor_Unit_AT_D44_85mm_VDV_SOV";;"Descriptor_OrderAvailability_AT_T12_Rapira_SOV";"WeaponDescriptor_AT_T12_Rapira_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_Fagot_DDR";"Unit_ATteam_Fagot_DDR";"ENationaliteAxis";"DDR";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;;20.25;;0.0;13.5;69.75;0.1;;;;84.9;40;0.26;8.0;"ATteam_Fagot_DDR";0;0;1;1;;;"tank_C";"['AT']";"EDefaultFactoriesInfantry";40;3;0;"Descriptor_Unit_ATteam_RCL_SPG9_FJ_DDR";;"Descriptor_OrderAvailability_ATteam_Fagot_DDR";"WeaponDescriptor_ATteam_Fagot_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_Fagot_FJ_DDR";"Unit_ATteam_Fagot_FJ_DDR";"ENationaliteAxis";"DDR";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;;20.25;;0.0;13.5;69.75;0.1;;;;84.9;40;0.26;8.0;"ATteam_Fagot_FJ_DDR";0;0;1;1;;;"tank_C";"['AT']";"EDefaultFactoriesInfantry";45;3;0;"Descriptor_Unit_ATteam_Fagot_DDR";;"Descriptor_OrderAvailability_ATteam_Fagot_FJ_DDR";"WeaponDescriptor_ATteam_Fagot_FJ_DDR";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_Fagot_SOV";"Unit_ATteam_Fagot_SOV";"ENationaliteAxis";"SOV";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;;20.25;;0.0;13.5;69.75;0.1;;;;84.9;40;0.26;8.0;"ATteam_Fagot_SOV";0;0;1;1;;;"tank_C";"['AT']";"EDefaultFactoriesInfantry";40;3;0;;;"Descriptor_OrderAvailability_ATteam_Fagot_SOV";"WeaponDescriptor_ATteam_Fagot_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_ITOW_US";"Unit_ATteam_ITOW_US";"ENationaliteAllied";"US";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;;20.25;;0.0;13.5;69.75;0.1;;;;84.9;40;0.26;8.0;"ATteam_ITOW_US";0;0;1;1;;;"tank_B";"['AT']";"EDefaultFactoriesInfantry";60;3;0;"Descriptor_Unit_ATteam_TOW_US";;"Descriptor_OrderAvailability_ATteam_ITOW_US";"WeaponDescriptor_ATteam_ITOW_US";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_Konkurs_DDR";"Unit_ATteam_Konkurs_DDR";"ENationaliteAxis";"DDR";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;;20.25;;0.0;13.5;69.75;0.1;;;;84.9;40;0.26;8.0;"ATteam_Konkurs_DDR";0;0;1;1;;;"tank_B";"['AT']";"EDefaultFactoriesInfantry";55;3;0;"Descriptor_Unit_ATteam_Fagot_FJ_DDR";;"Descriptor_OrderAvailability_ATteam_Konkurs_DDR";"WeaponDescriptor_ATteam_Konkurs_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_Konkurs_SOV";"Unit_ATteam_Konkurs_SOV";"ENationaliteAxis";"SOV";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;;20.25;;0.0;13.5;69.75;0.1;;;;84.9;40;0.26;8.0;"ATteam_Konkurs_SOV";0;0;1;1;;;"tank_B";"['AT']";"EDefaultFactoriesInfantry";55;3;0;"Descriptor_Unit_ATteam_Fagot_SOV";;"Descriptor_OrderAvailability_ATteam_Konkurs_SOV";"WeaponDescriptor_ATteam_Konkurs_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_Milan_1_FR";"Unit_ATteam_Milan_1_FR";"ENationaliteAllied";"FR";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;;20.25;;0.0;13.5;69.75;0.1;;;;84.9;40;0.26;8.0;"ATteam_Milan_1_FR";0;0;1;1;;;"tank_C";"['AT']";"EDefaultFactoriesInfantry";45;3;0;;;"Descriptor_OrderAvailability_ATteam_Milan_1_FR";"WeaponDescriptor_ATteam_Milan_1_FR";;;;;;;;;;;;;;;;;;
