DeckDescriptor;DivisionName;DivisionTags;AvailableForPlay;MaxActivationPoints;CountryId;UnitDescriptor;AvailableWithoutTransport;AvailableTransportList;MaxPackNumber;NumberOfUnitInPack_Poor;NumberOfUnitInPack_Trained;NumberOfUnitInPack_Veteran;NumberOfUnitInPack_Elite
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Jaguar_ATGM_FR";1;;1;0;2;1;0
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Jaguar_HE_FR";1;;2;0;2;1;0
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Jaguar_SEAD_FR";1;;1;0;3;2;1
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_MANPAD_Mistral_FR";0;"['Descriptor_Unit_VLTT_P4_FR']";1;0;8;4;2
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Mirage_5_F_clu_FR";1;;1;0;2;1;0
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Mirage_5_F_nplm_FR";1;;1;0;2;1;0
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Mirage_F1_C_FR";1;;2;0;3;2;1
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Mirage_III_E_FR";1;;2;0;3;2;1
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Mortier_MORT61_120mm_FR";0;"['Descriptor_Unit_TRM_2000_FR', 'Descriptor_Unit_VAB_FR']";3;0;4;2;1
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Puma_FR";1;;1;0;4;0;0
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Reserviste_FR";0;"['Descriptor_Unit_TRM_2000_FR']";1;12;0;0;0
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Rifles_APILAS_FR";0;"['Descriptor_Unit_TRM_2000_FR', 'Descriptor_Unit_VAB_FR', 'Descriptor_Unit_VAB_T20_FR']";1;0;6;4;2
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Rifles_CMD_FR";0;"['Descriptor_Unit_TRM_2000_FR', 'Descriptor_Unit_VAB_FR', 'Descriptor_Unit_VAB_T20_FR']";3;0;3;2;0
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Rifles_FR";0;"['Descriptor_Unit_TRM_2000_FR', 'Descriptor_Unit_VAB_FR', 'Descriptor_Unit_VAB_T20_FR']";6;0;9;6;3
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Roland_2_FR";1;;1;0;6;4;2
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Roland_3_FR";1;;1;0;0;4;2
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Sapeurs_CMD_FR";0;"['Descriptor_Unit_AMX_13_VCI_12_7mm_FR', 'Descriptor_Unit_AMX_13_VCI_20mm_FR', 'Descriptor_Unit_TRM_2000_FR']";1;0;3;2;0
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Sapeurs_FR";0;"['Descriptor_Unit_AMX_13_VCI_12_7mm_FR', 'Descriptor_Unit_AMX_13_VCI_20mm_FR', 'Descriptor_Unit_TRM_2000_FR']";2;0;9;6;3
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Sapeurs_Flam_FR";0;"['Descriptor_Unit_AMX_13_VCI_12_7mm_FR', 'Descriptor_Unit_AMX_13_VCI_20mm_FR', 'Descriptor_Unit_TRM_2000_FR']";1;0;6;4;2
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_Scout_FR";0;"['Descriptor_Unit_Alouette_III_FR', 'Descriptor_Unit_VLRA_HMG_FR', 'Descriptor_Unit_VLTT_P4_FR']";2;0;8;4;2
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_TRM_2000_20mm_FR";1;;1;0;9;6;3
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_TRM_2000_supply_FR";1;;2;0;3;0;0
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_VAB_CMD_FR";1;;2;0;0;3;2
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_VAB_HOT_FR";1;;1;0;9;6;3
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_VAB_Mortar_81_FR";1;;2;0;3;2;0
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_VAB_RASIT_FR";1;;1;0;6;4;2
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_VBL_MILAN_FR";1;;1;0;4;2;1
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_VBL_Reco_FR";1;;1;0;9;6;3
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_VLTT_P4_MILAN_FR";1;;2;0;8;4;2
"Descriptor_Deck_Division_FR_5e_Blindee_multi";"MVUBDSQMBB";"['DEFAULT', 'FR', 'Allied', 'armored', 'DC_PWR1']";1;50;"FR";"Descriptor_Unit_VLTT_P4_PC_FR";1;;1;0;0;4;2
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_2K12_KUB_DDR";1;;2;0;0;4;2
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_2S1_DDR";1;;2;0;3;2;0
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_2S3_DDR";1;;2;0;2;1;0
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_AT_T12_Rapira_DDR";1;"['Descriptor_Unit_MTLB_trans_DDR']";1;0;0;6;3
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_ATteam_Fagot_DDR";0;"['Descriptor_Unit_BMP_1_SP1_DDR', 'Descriptor_Unit_BMP_1_SP2_DDR', 'Descriptor_Unit_BTR_50_DDR', 'Descriptor_Unit_BTR_70_DDR', 'Descriptor_Unit_UAZ_469_trans_DDR']";1;0;0;9;6
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_ATteam_Fagot_FJ_DDR";0;"['Descriptor_Unit_UAZ_469_trans_DDR']";1;0;0;0;6
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_ATteam_Konkurs_DDR";0;"['Descriptor_Unit_BMP_1_SP1_DDR', 'Descriptor_Unit_BMP_1_SP2_DDR', 'Descriptor_Unit_BTR_50_DDR', 'Descriptor_Unit_BTR_70_DDR', 'Descriptor_Unit_UAZ_469_trans_DDR']";1;0;6;4;2
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_ATteam_RCL_SPG9_FJ_DDR";0;"['Descriptor_Unit_UAZ_469_trans_DDR']";1;0;0;0;6
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_BM30_Smerch_SOV";1;;2;0;1;0;0
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_BMP_1_CMD_DDR";1;;2;0;0;0;3
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_BRDM_2_CMD_DDR";1;;2;0;0;0;3
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_BRDM_2_DDR";1;;2;0;0;9;6
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_BRDM_Konkurs_DDR";1;;2;0;0;9;6
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_BRDM_Strela_1_DDR";1;;1;0;8;4;2
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_BRM_1_DDR";1;;1;0;0;6;4
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_BTR_50_CMD_DDR";1;;1;0;0;3;2
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_BTR_60_CMD_DDR";1;;1;0;0;3;0
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_Engineers_CMD_DDR";0;"['Descriptor_Unit_BTR_70_DDR', 'Descriptor_Unit_MTLB_trans_DDR', 'Descriptor_Unit_UAZ_469_trans_DDR']";1;0;0;0;3
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_Engineers_DDR";0;"['Descriptor_Unit_BTR_70_DDR', 'Descriptor_Unit_MTLB_trans_DDR', 'Descriptor_Unit_W50_LA_A_DDR']";1;0;0;9;6
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_Engineers_Flam_DDR";0;"['Descriptor_Unit_BTR_70_DDR', 'Descriptor_Unit_MTLB_trans_DDR', 'Descriptor_Unit_W50_LA_A_DDR']";1;0;0;6;4
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_Fallschirmjager_CMD_DDR";0;"['Descriptor_Unit_UAZ_469_trans_DDR']";1;0;0;0;3
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_Fallschirmjager_DDR";0;"['Descriptor_Unit_W50_LA_A_DDR']";2;0;0;0;4
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_Fallschirmjager_FalseFlag_DDR";0;"['Descriptor_Unit_Mi_2_trans_DDR', 'Descriptor_Unit_W50_LA_A_DDR']";2;0;0;0;3
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_Fallschirmjager_FlaseFlag_Demo_DDR";0;"['Descriptor_Unit_Mi_2_trans_DDR', 'Descriptor_Unit_W50_LA_A_DDR']";2;0;0;0;3
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_Fallschirmjager_HMG_DDR";0;"['Descriptor_Unit_W50_LA_A_DDR']";1;0;0;0;3
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_Fallschirmjager_Metys_DDR";0;"['Descriptor_Unit_W50_LA_A_DDR']";1;0;0;0;4
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_Howz_D30_122mm_DDR";0;"['Descriptor_Unit_MTLB_trans_DDR']";2;0;4;2;1
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_HvyScout_DDR";0;"['Descriptor_Unit_BMP_1P_reco_DDR', 'Descriptor_Unit_Mi_8T_DDR', 'Descriptor_Unit_W50_LA_A_DDR']";1;0;0;6;4
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_MANPAD_Strela_2M_DDR";0;"['Descriptor_Unit_UAZ_469_trans_DDR']";5;0;0;12;8
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_MFRW_RM70_DDR";1;;2;0;2;1;0
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_MTLB_Strela10_DDR";1;;1;0;0;6;4
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_MTLB_supply_DDR";1;;2;0;10;0;0
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_MiG_21PFM_AA_DDR";1;;2;0;4;2;1
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_MiG_21PFM_DDR";1;;1;0;3;2;1
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_MiG_21bis_AA2_DDR";1;;2;0;0;4;2
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_MiG_21bis_HE_DDR";1;;1;0;3;2;1
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_MiG_23BN_AT_DDR";1;;2;0;4;2;1
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_MiG_23MF_AA_DDR";1;;1;0;0;3;2
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_MiG_23MF_DDR";1;;1;0;3;2;1
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_MiG_29_AA_DDR";1;;1;0;2;1;0
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_Mi_24D_AA_DDR";1;;2;0;0;0;1
"Descriptor_Deck_Division_RDA_4_MSD_multi";"XPXHEQABVZ";"['DEFAULT', 'DDR', 'Axis', 'infantryReg', 'DC_PWR2']";1;50;"DDR";"Descriptor_Unit_Mi_24D_s5_AT_DDR";1;;2;0;0;1;0
