UniteDescriptor;ClassNameForDebug;Nationalite;MotherCountry;UnitConcealmentBonus;ArmorDescriptorFront;ArmorDescriptorSides;ArmorDescriptorRear;ArmorDescriptorTop;MaxDamages;HitRollECM;Dangerousness;NbSoldatInGroupeCombat;MaxSpeed;RoadSpeed;SpeedBonusOnRoad;MaxAcceleration;MaxDeceleration;TempsDemiTour;FuelCapacity;FuelMoveDuration;Autonomy;OpticalStrength;OpticalStrengthAltitude;IdentifyBaseProbability;TimeBetweenEachIdentifyRoll;ProductionYear;IsTransporter;IsPlane;UnitAttackValue;UnitDefenseValue;EvacuationTime;TravelDuration;RoleList;SpecialtiesList;Factory;Resource_CommandPoints;RevealInfluence;UpgradeFromUnit;SupplyCapacity;UnlockableOrders;WeaponDescriptor;DeploymentShift;Altitude;AltitudeMax;AltitudeMin;AltitudeMinForRoll;MinRollSpeedForRoll;Speed;AgilityRadius;PitchAngle;RollAngle;PitchSpeed;RollSpeed;UpwardSpeed;TorqueManoeuvrability;CyclicManoeuvrability;MaxInclination;GFactorLimit;RotorArea
"Descriptor_Unit_ATteam_ITOW_US";"Unit_ATteam_ITOW_US";"Allied";"US";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;30.0;;20.25;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;0;0;0;4;4;;;"tank_B";"['AT']";"Infantry";60;0;"Descriptor_Unit_ATteam_TOW_US";;"Descriptor_OrderAvailability_ATteam_ITOW_US";"WeaponDescriptor_ATteam_ITOW_US";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_Konkurs_DDR";"Unit_ATteam_Konkurs_DDR";"Axis";"DDR";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;30.0;;20.25;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;0;0;0;4;4;;;"tank_B";"['AT']";"Infantry";60;0;"Descriptor_Unit_ATteam_Fagot_FJ_DDR";;"Descriptor_OrderAvailability_ATteam_Konkurs_DDR";"WeaponDescriptor_ATteam_Konkurs_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_Konkurs_SOV";"Unit_ATteam_Konkurs_SOV";"Axis";"SOV";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;30.0;;20.25;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;0;0;0;4;4;;;"tank_B";"['AT']";"Infantry";60;0;"Descriptor_Unit_ATteam_Fagot_SOV";;"Descriptor_OrderAvailability_ATteam_Konkurs_SOV";"WeaponDescriptor_ATteam_Konkurs_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_Milan_1_FR";"Unit_ATteam_Milan_1_FR";"Allied";"FR";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;18.0;;20.25;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;0;0;0;3;3;;;"tank_C";"['AT']";"Infantry";40;0;;;"Descriptor_OrderAvailability_ATteam_Milan_1_FR";"WeaponDescriptor_ATteam_Milan_1_FR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_Milan_1_RFA";"Unit_ATteam_Milan_1_RFA";"Allied";"RFA";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;18.0;;20.25;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;0;0;0;3;3;;;"tank_C";"['AT']";"Infantry";40;0;;;"Descriptor_OrderAvailability_ATteam_Milan_1_RFA";"WeaponDescriptor_ATteam_Milan_1_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_Milan_2_RFA";"Unit_ATteam_Milan_2_RFA";"Allied";"RFA";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;30.0;;20.25;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;0;0;0;4;4;;;"tank_B";"['AT']";"Infantry";60;0;"Descriptor_Unit_ATteam_Milan_1_RFA";;"Descriptor_OrderAvailability_ATteam_Milan_2_RFA";"WeaponDescriptor_ATteam_Milan_2_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_Milan_2_para_RFA";"Unit_ATteam_Milan_2_para_RFA";"Allied";"RFA";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;30.0;;20.25;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;0;0;0;4;4;;;"tank_B";"['AT']";"Infantry";65;0;"Descriptor_Unit_ATteam_Milan_2_RFA";;"Descriptor_OrderAvailability_ATteam_Milan_2_para_RFA";"WeaponDescriptor_ATteam_Milan_2_para_RFA";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_RCL_M40A1_RFA";"Unit_ATteam_RCL_M40A1_RFA";"Allied";"RFA";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;17.0;;20.25;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;0;0;0;2;2;;;"tank_D";"['AT']";"Infantry";35;0;;;"Descriptor_OrderAvailability_ATteam_RCL_M40A1_RFA";"WeaponDescriptor_ATteam_RCL_M40A1_RFA";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_RCL_SPG9_DDR";"Unit_ATteam_RCL_SPG9_DDR";"Axis";"DDR";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;14.0;;20.25;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;0;0;0;2;2;;;"tank_D";"['AT']";"Infantry";30;0;;;"Descriptor_OrderAvailability_ATteam_RCL_SPG9_DDR";"WeaponDescriptor_ATteam_RCL_SPG9_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_RCL_SPG9_FJ_DDR";"Unit_ATteam_RCL_SPG9_FJ_DDR";"Axis";"DDR";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;14.0;;20.25;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;0;0;0;2;2;;;"tank_D";"['AT']";"Infantry";35;0;"Descriptor_Unit_ATteam_RCL_SPG9_DDR";;"Descriptor_OrderAvailability_ATteam_RCL_SPG9_FJ_DDR";"WeaponDescriptor_ATteam_RCL_SPG9_FJ_DDR";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_RCL_SPG9_VDV_SOV";"Unit_ATteam_RCL_SPG9_VDV_SOV";"Axis";"SOV";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;14.0;;20.25;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;0;0;0;2;2;;;"tank_D";"['AT']";"Infantry";30;0;;;"Descriptor_OrderAvailability_ATteam_RCL_SPG9_VDV_SOV";"WeaponDescriptor_ATteam_RCL_SPG9_VDV_SOV";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_TOW2_US";"Unit_ATteam_TOW2_US";"Allied";"US";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;42.0;;20.25;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;0;0;0;5;5;;;"tank_A";"['AT']";"Infantry";85;0;"Descriptor_Unit_ATteam_ITOW_US";;"Descriptor_OrderAvailability_ATteam_TOW2_US";"WeaponDescriptor_ATteam_TOW2_US";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_ATteam_TOW_US";"Unit_ATteam_TOW_US";"Allied";"US";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";3.0;0.0;42.0;;20.25;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;1987;0;0;3;3;;;"tank_C";"['AT']";"Infantry";85;0;;;"Descriptor_OrderAvailability_ATteam_TOW_US";"WeaponDescriptor_ATteam_TOW_US";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_AeroRifles_US";"Unit_AeroRifles_US";"Allied";"US";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";10.0;0.0;26.54;;24.75;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;1981;0;0;4;4;;;"tank_B";"['infantry']";"Infantry";55;0;;;"Descriptor_OrderAvailability_AeroRifles_US";"WeaponDescriptor_AeroRifles_US";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Airborne_Engineer_CMD_US";"Unit_Airborne_Engineer_CMD_US";"Allied";"US";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";12.0;0.0;16.7;;24.75;;0.0;13.5;69.75;0.1;;;;80;20;0.26;8.0;1981;0;0;2;2;;;"tank_D";"['hq']";"Infantry";130;0;;;"Descriptor_OrderAvailability_Airborne_Engineer_CMD_US";"WeaponDescriptor_Airborne_Engineer_CMD_US";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Airborne_Engineers_US";"Unit_Airborne_Engineers_US";"Allied";"US";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";10.0;0.0;21.72;;24.75;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;1981;0;0;4;4;;;"tank_B";"['engineer']";"Infantry";50;0;"Descriptor_Unit_Airborne_Engineer_CMD_US";;"Descriptor_OrderAvailability_Airborne_Engineers_US";"WeaponDescriptor_Airborne_Engineers_US";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Airborne_MP_RCL_US";"Unit_Airborne_MP_RCL_US";"Allied";"US";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";5.0;0.0;17.95;;24.75;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;1981;0;0;2;2;;;"tank_D";"['infantry_half']";"Infantry";45;0;"Descriptor_Unit_Airborne_MP_US";;"Descriptor_OrderAvailability_Airborne_MP_RCL_US";"WeaponDescriptor_Airborne_MP_RCL_US";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Airborne_MP_US";"Unit_Airborne_MP_US";"Allied";"US";2.0;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";5.0;0.0;9.96;;24.75;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;1981;0;0;2;2;;;"tank_D";"['infantry_half']";"Infantry";25;0;;;"Descriptor_OrderAvailability_Airborne_MP_US";"WeaponDescriptor_Airborne_MP_US";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Atteam_Fagot_VDV_SOV";"Unit_Atteam_Fagot_VDV_SOV";"Axis";"SOV";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;18.0;;20.25;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;0;0;0;3;3;;;"tank_C";"['AT']";"Infantry";55;0;;;"Descriptor_OrderAvailability_Atteam_Fagot_VDV_SOV";"WeaponDescriptor_Atteam_Fagot_VDV_SOV";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_Atteam_Konkurs_VDV_SOV";"Unit_Atteam_Konkurs_VDV_SOV";"Axis";"SOV";2.5;"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";"ArmorDescriptor_Infanterie_1";2.0;0.0;30.0;;20.25;;0.0;13.5;69.75;0.1;;;;80;40;0.26;8.0;0;0;0;4;4;;;"tank_B";"['AT']";"Infantry";70;0;;;"Descriptor_OrderAvailability_Atteam_Konkurs_VDV_SOV";"WeaponDescriptor_Atteam_Konkurs_VDV_SOV";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_BM21V_GradV_SOV";"Unit_BM21V_GradV_SOV";"Axis";"SOV";1.0;"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";10.0;0.0;24.0;;67.5;;1.0;33.75;69.75;4.0;300;875.0;;40;10;0.13;15.0;1986;0;0;2;1;;;"tank_D";"['mlrs']";"Support";145;0;;;"Descriptor_OrderAvailability_BM21V_GradV_SOV";"WeaponDescriptor_BM21V_GradV_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_BM21_Grad_DDR";"Unit_BM21_Grad_DDR";"Axis";"DDR";1.0;"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";10.0;0.0;40.0;;63.0;;1.1428571428571428;33.75;69.75;4.0;500;750.0;;40;10;0.13;15.0;0;0;0;2;1;;;"tank_D";"['mlrs']";"Support";240;0;;;"Descriptor_OrderAvailability_BM21_Grad_DDR";"WeaponDescriptor_BM21_Grad_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_BM21_Grad_SOV";"Unit_BM21_Grad_SOV";"Axis";"SOV";1.0;"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";10.0;0.0;40.0;;63.0;;1.1428571428571428;33.75;69.75;4.0;500;750.0;;40;10;0.13;15.0;1986;0;0;2;1;;;"tank_D";"['mlrs']";"Support";240;0;;;"Descriptor_OrderAvailability_BM21_Grad_SOV";"WeaponDescriptor_BM21_Grad_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_BM27_Uragan_SOV";"Unit_BM27_Uragan_SOV";"Axis";"SOV";1.0;"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";10.0;0.0;41.666666666666664;;58.5;;0.6923076923076923;22.5;45.0;7.0;1000;500.0;;40;10;0.13;15.0;1986;0;0;2;1;;;"tank_D";"['mlrs']";"Support";250;0;"Descriptor_Unit_BM21_Grad_SOV";;"Descriptor_OrderAvailability_BM27_Uragan_SOV";"WeaponDescriptor_BM27_Uragan_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_BM30_Smerch_SOV";"Unit_BM30_Smerch_SOV";"Axis";"SOV";1.0;"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";"ArmorDescriptor_Vehicule_leger";10.0;0.0;50.0;;54.0;;0.8333333333333333;22.5;45.0;7.0;1000;850.0;;40;10;0.13;15.0;1986;0;0;4;1;;;"tank_B";"['mlrs']";"Support";300;0;"Descriptor_Unit_BM27_Uragan_SOV";;"Descriptor_OrderAvailability_BM30_Smerch_SOV";"WeaponDescriptor_BM30_Smerch_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_BMP_1PG_SOV";"Unit_BMP_1PG_SOV";"Axis";"SOV";1.0;"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;32.9;;54.0;;0.8333333333333333;22.5;45.0;7.0;450;600.0;;60;20;0.2;10.0;1987;1;0;1;1;;;"tank_B";"['ifv']";"Tanks";35;0;"Descriptor_Unit_BMP_1P_SOV";;"Descriptor_OrderAvailability_BMP_1PG_SOV";"WeaponDescriptor_BMP_1PG_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_BMP_1P_DDR";"Unit_BMP_1P_DDR";"Axis";"DDR";1.0;"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;32.9;;54.0;;0.8333333333333333;22.5;45.0;7.0;450;600.0;;60;20;0.2;10.0;1987;1;0;1;1;;;"tank_C";"['ifv']";"Tanks";30;0;"Descriptor_Unit_BMP_1_SP2_DDR";;"Descriptor_OrderAvailability_BMP_1P_DDR";"WeaponDescriptor_BMP_1P_DDR";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_BMP_1P_SOV";"Unit_BMP_1P_SOV";"Axis";"SOV";1.0;"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;32.9;;54.0;;0.8333333333333333;22.5;45.0;7.0;450;600.0;;60;20;0.2;10.0;1987;1;0;1;1;;;"tank_C";"['ifv']";"Tanks";30;0;"Descriptor_Unit_MTLB_transp_SOV";;"Descriptor_OrderAvailability_BMP_1P_SOV";"WeaponDescriptor_BMP_1P_SOV";;;;;;;;;;;;;;;;;;
"Descriptor_Unit_BMP_1P_reco_DDR";"Unit_BMP_1P_reco_DDR";"Axis";"DDR";1.5;"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;123.9;;54.0;;0.8333333333333333;22.5;45.0;7.0;1100;550.0;;120;40;0.4;5.0;0;0;0;1;1;;;"tank_B";"['reco']";"Recons";60;0;"Descriptor_Unit_PT76B_DDR";;"Descriptor_OrderAvailability_BMP_1P_reco_DDR";"WeaponDescriptor_BMP_1P_reco_DDR";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_BMP_1P_reco_SOV";"Unit_BMP_1P_reco_SOV";"Axis";"SOV";1.5;"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;32.9;;54.0;;0.8333333333333333;22.5;45.0;7.0;450;600.0;;120;40;0.4;5.0;1987;1;0;1;1;;;"tank_B";"['reco']";"Recons";60;0;;;"Descriptor_OrderAvailability_BMP_1P_reco_SOV";"WeaponDescriptor_BMP_1P_reco_SOV";3533.5689045936397;;;;;;;;;;;;;;;;;
"Descriptor_Unit_BMP_1_CMD_DDR";"Unit_BMP_1_CMD_DDR";"Axis";"DDR";1.0;"ArmorDescriptor_Blindage_3";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";"ArmorDescriptor_Vehicule_1";10.0;0.0;123.9;;54.0;;0.8333333333333333;22.5;45.0;7.0;375;500.0;;80;20;0.26;8.0;0;0;0;1;3;;;"tank_C";"['hq']";"Logistic";160;0;"Descriptor_Unit_BTR_50_CMD_DDR";;"Descriptor_OrderAvailability_BMP_1_CMD_DDR";"WeaponDescriptor_BMP_1_CMD_DDR";;;;;;;;;;;;;;;;;;
